Sample	berger_parker	buzas_gibson	chao1	dominance	equitability	jost	jost1	reads	richness	robbins	simpson	shannon_e	shannon_2	shannon_10
K4091Lb	0.363	0.00752	687.6	0.852	0.557	11.3	37.6	5000.0	675.0	0.682	0.148	3.63	5.23	1.58
K4091Ld	0.188	0.0122	649.3	0.933	0.637	23.7	60.9	5000.0	634.0	0.646	0.0673	4.11	5.93	1.78
K4091Lf	0.196	0.0166	764.6	0.942	0.668	30.0	83.1	5000.0	749.0	0.656	0.058	4.42	6.38	1.92
N4123Lb	0.280	0.0102	739.0	0.896	0.597	16.2	50.9	5000.0	725.0	0.678	0.104	3.93	5.67	1.71
N4123Ld	0.237	0.0132	847.2	0.917	0.623	20.4	66.0	5000.0	835.0	0.684	0.0833	4.19	6.04	1.82
N4123Le	0.182	0.012	767.4	0.924	0.618	20.9	59.9	5000.0	751.0	0.677	0.076	4.09	5.90	1.78
P4139Lc	0.124	0.0235	1075.3	0.953	0.684	36.6	117.6	5000.0	1064.0	0.683	0.0471	4.77	6.88	2.07
P4139Ld	0.221	0.0272	1117.5	0.941	0.701	34.7	136.1	5000.0	1108.0	0.646	0.0592	4.91	7.09	2.13
P4139Le	0.226	0.0138	922.1	0.917	0.622	20.2	69.0	5000.0	907.0	0.683	0.0828	4.23	6.11	1.84
P4140Lb	0.119	0.0546	1266.8	0.978	0.786	94.6	272.8	5000.0	1255.0	0.637	0.0217	5.61	8.09	2.44
P4140Ld	0.123	0.0491	1321.4	0.972	0.767	74.4	245.6	5000.0	1313.0	0.638	0.0275	5.50	7.94	2.39
P4140Le	0.109	0.0519	1215.2	0.977	0.783	90.1	259.3	5000.0	1205.0	0.620	0.0226	5.56	8.02	2.41
Q4145La	0.253	0.0191	1029.6	0.918	0.658	23.3	95.4	5000.0	1018.0	0.660	0.0817	4.56	6.58	1.98
Q4145Lc	0.136	0.0333	1154.7	0.964	0.727	52.1	166.6	5000.0	1143.0	0.656	0.0362	5.12	7.38	2.22
Q4145Lf	0.194	0.0272	1143.5	0.943	0.699	34.9	136.2	5000.0	1135.0	0.655	0.0566	4.91	7.09	2.13
Q4147Lb	0.152	0.0173	859.3	0.945	0.662	29.7	86.6	5000.0	847.0	0.656	0.0555	4.46	6.44	1.94
Q4147Le	0.153	0.0276	1007.0	0.960	0.714	46.0	138.1	5000.0	995.0	0.655	0.0402	4.93	7.11	2.14
Q4147Lf	0.173	0.013	746.7	0.930	0.632	22.9	64.9	5000.0	734.0	0.650	0.07	4.17	6.02	1.81
Q4148La	0.172	0.0197	1038.2	0.936	0.662	27.7	98.5	5000.0	1027.0	0.681	0.0637	4.59	6.62	1.99
Q4148Le	0.122	0.0424	1216.0	0.972	0.755	69.1	211.8	5000.0	1206.0	0.647	0.028	5.36	7.73	2.33
Q4148Lf	0.185	0.0197	981.5	0.937	0.668	28.4	98.7	5000.0	969.0	0.660	0.0631	4.59	6.63	1.99
Q4149Lb	0.197	0.0136	816.2	0.927	0.631	22.6	68.2	5000.0	803.0	0.670	0.0733	4.22	6.09	1.83
Q4149Ld	0.206	0.015	877.3	0.926	0.638	22.9	74.8	5000.0	867.0	0.658	0.0739	4.31	6.22	1.87
Q4149Le	0.219	0.0225	980.1	0.938	0.687	31.7	112.6	5000.0	968.0	0.655	0.0615	4.72	6.81	2.05
G4061La	0.171	0.0531	1329.8	0.966	0.777	69.8	265.3	5000.0	1322.0	0.612	0.0344	5.58	8.05	2.42
G4061Lb	0.155	0.0422	1315.9	0.965	0.746	59.1	211.0	5000.0	1308.0	0.650	0.0349	5.35	7.72	2.32
T4177La	0.313	0.0061	673.8	0.867	0.529	11.2	30.5	5000.0	644.0	0.753	0.133	3.42	4.93	1.48
T4177Le	0.364	0.00847	772.6	0.852	0.565	11.6	42.3	5000.0	755.0	0.690	0.148	3.75	5.40	1.63
T4177Lf	0.250	0.00511	507.0	0.879	0.522	11.4	25.5	5000.0	497.0	0.665	0.121	3.24	4.67	1.41
T4179Lb	0.170	0.0182	699.3	0.948	0.690	33.4	90.9	5000.0	691.0	0.559	0.0517	4.51	6.51	1.96
T4179Ld	0.234	0.0242	974.0	0.935	0.698	31.8	120.8	5000.0	965.0	0.607	0.0647	4.79	6.92	2.08
T4179Le	0.277	0.00982	782.6	0.880	0.586	13.8	49.1	5000.0	771.0	0.654	0.120	3.89	5.62	1.69
W4195Lb	0.091	0.0359	1119.8	0.976	0.740	70.0	179.5	5000.0	1110.0	0.664	0.0239	5.19	7.49	2.25
W4195Le	0.0814	0.0325	1136.1	0.972	0.724	59.0	162.3	5000.0	1124.0	0.669	0.0281	5.09	7.34	2.21
W4195Lf	0.107	0.0384	1116.0	0.976	0.750	72.4	192.1	5000.0	1104.0	0.652	0.0245	5.26	7.59	2.28
W4196La	0.164	0.0184	859.2	0.944	0.671	30.9	92.0	5000.0	848.0	0.651	0.0557	4.52	6.52	1.96
W4196Ld	0.207	0.0151	891.3	0.924	0.637	22.6	75.4	5000.0	881.0	0.659	0.0759	4.32	6.24	1.88
W4196Lf	0.198	0.0125	823.7	0.918	0.618	19.9	62.3	5000.0	806.0	0.686	0.0818	4.13	5.96	1.79
W4197La	0.261	0.00889	739.1	0.889	0.576	14.2	44.4	5000.0	726.0	0.662	0.111	3.79	5.47	1.65
W4197Ld	0.332	0.00821	745.2	0.863	0.563	11.9	41.0	5000.0	734.0	0.649	0.137	3.71	5.36	1.61
W4197Le	0.310	0.00886	722.2	0.875	0.578	13.2	44.3	5000.0	709.0	0.652	0.125	3.79	5.47	1.65
X4204La	0.215	0.0141	918.1	0.922	0.625	21.3	70.5	5000.0	906.0	0.677	0.0779	4.26	6.14	1.85
X4204Ld	0.154	0.0169	909.7	0.941	0.652	27.7	84.3	5000.0	901.0	0.646	0.0586	4.43	6.40	1.93
X4204Lf	0.161	0.0297	1110.6	0.960	0.714	47.0	148.7	5000.0	1100.0	0.670	0.04	5.00	7.22	2.17
Y4211La	0.169	0.0189	860.5	0.943	0.674	31.0	94.4	5000.0	848.0	0.641	0.0566	4.55	6.56	1.97
Y4211Lc	0.135	0.0178	679.1	0.954	0.690	35.7	88.8	5000.0	670.0	0.571	0.0456	4.49	6.47	1.95
Y4211Le	0.175	0.0202	815.1	0.948	0.690	34.8	101.1	5000.0	803.0	0.624	0.0517	4.62	6.66	2.00
A4002Lb	0.190	0.0267	1035.1	0.951	0.706	39.3	133.5	5000.0	1027.0	0.636	0.0494	4.89	7.06	2.13
A4002Le	0.266	0.0195	1064.9	0.915	0.658	23.0	97.6	5000.0	1054.0	0.676	0.0854	4.58	6.61	1.99
A4002Lf	0.183	0.0359	1251.7	0.952	0.728	44.8	179.3	5000.0	1242.0	0.659	0.0477	5.19	7.49	2.25
A4010Lb	0.131	0.0454	1248.4	0.967	0.762	65.3	227.1	5000.0	1239.0	0.633	0.0327	5.43	7.83	2.36
A4010Ld	0.165	0.0418	1182.4	0.965	0.756	61.8	209.1	5000.0	1175.0	0.621	0.035	5.34	7.71	2.32
A4010Le	0.117	0.069	1440.4	0.979	0.804	108.8	345.2	5000.0	1432.0	0.631	0.0207	5.84	8.43	2.54
B4020La	0.219	0.0197	977.6	0.932	0.668	27.5	98.5	5000.0	964.0	0.669	0.0679	4.59	6.62	1.99
B4020Ld	0.197	0.0111	781.4	0.919	0.604	19.1	55.4	5000.0	772.0	0.655	0.0811	4.01	5.79	1.74
B4020Lf	0.198	0.00647	607.0	0.899	0.545	13.6	32.3	5000.0	591.0	0.688	0.101	3.48	5.02	1.51
C4021Lc	0.169	0.0222	827.2	0.956	0.703	40.9	111.2	5000.0	817.0	0.631	0.0437	4.71	6.80	2.05
C4021Le	0.189	0.0272	962.1	0.953	0.716	41.9	135.9	5000.0	952.0	0.614	0.0471	4.91	7.09	2.13
C4021Lf	0.189	0.0239	917.1	0.952	0.702	38.9	119.6	5000.0	909.0	0.616	0.0483	4.78	6.90	2.08
C4022Lb	0.153	0.0292	1011.9	0.960	0.721	47.6	145.9	5000.0	1001.0	0.629	0.0398	4.98	7.19	2.16
C4022Ld	0.147	0.0199	894.6	0.950	0.677	33.8	99.3	5000.0	887.0	0.630	0.0495	4.60	6.63	2.00
C4022Le	0.175	0.0298	1045.0	0.960	0.721	48.7	149.0	5000.0	1028.0	0.686	0.0404	5.00	7.22	2.17
C4027Lb	0.187	0.0144	805.9	0.933	0.640	24.3	71.8	5000.0	794.0	0.655	0.0674	4.27	6.17	1.86
C4027Ld	0.173	0.0117	764.1	0.925	0.615	20.6	58.6	5000.0	751.0	0.653	0.0749	4.07	5.87	1.77
C4027Le	0.201	0.0118	776.4	0.917	0.615	19.5	59.2	5000.0	763.0	0.664	0.0826	4.08	5.89	1.77
E4044Lb	0.136	0.0336	1107.0	0.965	0.732	53.9	168.0	5000.0	1097.0	0.644	0.0352	5.12	7.39	2.23
E4044Ld	0.174	0.0287	1125.8	0.952	0.708	40.5	143.5	5000.0	1115.0	0.659	0.0478	4.97	7.17	2.16
E4044Lf	0.132	0.0429	1227.2	0.972	0.756	70.2	214.4	5000.0	1214.0	0.667	0.0283	5.37	7.74	2.33
G4065La	0.221	0.0247	1103.8	0.937	0.688	31.6	123.4	5000.0	1092.0	0.663	0.063	4.82	6.95	2.09
G4065Lb	0.216	0.0131	840.4	0.917	0.623	20.2	65.6	5000.0	827.0	0.675	0.0831	4.18	6.04	1.82
G4065Lc	0.117	0.0198	912.7	0.954	0.675	35.0	99.0	5000.0	902.0	0.656	0.0463	4.59	6.63	2.00
H4079Lc	0.154	0.0245	1153.1	0.942	0.683	31.9	122.3	5000.0	1143.0	0.667	0.0577	4.81	6.93	2.09
H4079Le	0.164	0.0356	1260.6	0.956	0.727	46.7	178.2	5000.0	1251.0	0.662	0.0439	5.18	7.48	2.25
H4079Lf	0.143	0.0433	1284.6	0.967	0.752	61.9	216.7	5000.0	1275.0	0.647	0.0333	5.38	7.76	2.34
L4101Lc	0.235	0.0112	784.0	0.914	0.606	18.9	56.2	5000.0	768.0	0.698	0.0857	4.03	5.81	1.75
L4101Ld	0.139	0.0178	888.4	0.947	0.663	31.3	88.8	5000.0	867.0	0.700	0.0526	4.49	6.47	1.95
L4101Lf	0.150	0.0196	857.7	0.952	0.680	35.4	97.9	5000.0	843.0	0.662	0.0477	4.58	6.61	1.99
L4103La	0.193	0.0104	825.4	0.914	0.591	17.8	52.1	5000.0	805.0	0.721	0.0861	3.95	5.70	1.72
L4103Lb	0.190	0.00553	523.9	0.891	0.532	12.3	27.6	5000.0	514.0	0.647	0.109	3.32	4.79	1.44
L4103Ld	0.207	0.00873	718.3	0.903	0.576	15.6	43.7	5000.0	707.0	0.691	0.0967	3.78	5.45	1.64
L4108Lb	0.344	0.00962	788.7	0.867	0.583	13.2	48.1	5000.0	772.0	0.680	0.133	3.87	5.59	1.68
L4108Lc	0.273	0.0116	711.6	0.910	0.620	19.2	57.9	5000.0	698.0	0.664	0.0904	4.06	5.86	1.76
L4108Lf	0.213	0.0141	756.6	0.932	0.644	24.9	70.4	5000.0	740.0	0.668	0.0676	4.25	6.14	1.85
L4110Lb	0.108	0.0395	1201.2	0.972	0.746	65.6	197.4	5000.0	1190.0	0.658	0.0284	5.29	7.63	2.30
L4110Lc	0.0956	0.0674	1452.1	0.982	0.800	113.2	336.9	5000.0	1445.0	0.633	0.0182	5.82	8.40	2.53
L4110Lf	0.0658	0.0722	1381.9	0.988	0.815	153.1	360.9	5000.0	1372.0	0.639	0.0118	5.89	8.50	2.56
X4210Lc	0.147	0.0285	1034.8	0.960	0.715	45.8	142.4	5000.0	1026.0	0.636	0.0399	4.96	7.15	2.15
X4210Ld	0.144	0.0253	1134.7	0.954	0.689	38.0	126.7	5000.0	1125.0	0.676	0.0464	4.84	6.99	2.10
X4210Lf	0.184	0.0244	1164.0	0.938	0.681	30.4	121.8	5000.0	1153.0	0.667	0.0618	4.80	6.93	2.09
Y4216Lb	0.141	0.0416	1212.1	0.969	0.753	65.6	208.0	5000.0	1201.0	0.658	0.031	5.34	7.70	2.32
Y4216Ld	0.234	0.0145	858.2	0.921	0.635	22.2	72.4	5000.0	846.0	0.682	0.0791	4.28	6.18	1.86
Y4216Le	0.150	0.0279	1057.0	0.958	0.710	43.9	139.4	5000.0	1043.0	0.659	0.042	4.94	7.12	2.14
F4054Ha	0.143	0.0441	1241.8	0.971	0.758	70.2	220.4	5000.0	1233.0	0.647	0.0291	5.40	7.78	2.34
F4054Hc	0.0632	0.064	1249.5	0.987	0.810	136.0	320.2	5000.0	1242.0	0.603	0.0133	5.77	8.32	2.51
F4054Hd	0.0804	0.0473	1128.3	0.981	0.779	94.6	236.7	5000.0	1119.0	0.621	0.0191	5.47	7.89	2.37
F4055Hb	0.0886	0.0337	1012.5	0.975	0.742	66.8	168.5	5000.0	1003.0	0.625	0.0251	5.13	7.40	2.23
F4055Hc	0.0868	0.0553	1249.0	0.983	0.789	108.7	276.4	5000.0	1241.0	0.620	0.0168	5.62	8.11	2.44
F4055Hf	0.0528	0.0929	1478.1	0.991	0.842	207.0	464.3	5000.0	1471.0	0.607	0.00898	6.14	8.86	2.67
F4060Hc	0.0704	0.0682	1369.8	0.987	0.808	139.7	341.0	5000.0	1360.0	0.647	0.0132	5.83	8.41	2.53
F4060Hd	0.098	0.0527	1253.8	0.978	0.782	91.0	263.3	5000.0	1245.0	0.624	0.0217	5.57	8.04	2.42
F4060He	0.120	0.0665	1395.7	0.981	0.803	113.9	332.6	5000.0	1387.0	0.645	0.0194	5.81	8.38	2.52
H4074Ha	0.07	0.0771	1470.6	0.987	0.817	148.9	385.7	5000.0	1461.0	0.645	0.013	5.95	8.59	2.59
H4074He	0.0364	0.0825	1353.9	0.992	0.836	201.9	412.3	5000.0	1347.0	0.599	0.00816	6.02	8.69	2.62
H4074Hf	0.0498	0.0872	1434.6	0.991	0.837	195.0	436.2	5000.0	1425.0	0.620	0.00935	6.08	8.77	2.64
H4071Ha	0.265	0.0109	893.0	0.902	0.590	16.6	54.6	5000.0	877.0	0.721	0.0984	4.00	5.77	1.74
H4071Hb	0.152	0.0278	1092.5	0.954	0.707	41.0	139.2	5000.0	1080.0	0.665	0.0459	4.94	7.12	2.14
H4071Hc	0.185	0.0178	956.1	0.937	0.655	27.3	89.0	5000.0	944.0	0.677	0.0633	4.49	6.48	1.95
J4083Hb	0.176	0.0231	988.2	0.949	0.690	35.9	115.5	5000.0	979.0	0.656	0.0512	4.75	6.85	2.06
J4083Hc	0.0914	0.0491	1108.8	0.982	0.786	101.1	245.6	5000.0	1098.0	0.616	0.0182	5.50	7.94	2.39
J4083Hd	0.137	0.023	884.4	0.960	0.701	42.4	114.9	5000.0	872.0	0.638	0.0403	4.74	6.84	2.06
B4012Lb	0.217	0.0104	793.7	0.910	0.593	17.3	52.0	5000.0	782.0	0.678	0.0901	3.95	5.70	1.72
B4012Ld	0.206	0.00799	655.0	0.906	0.570	15.4	39.9	5000.0	642.0	0.683	0.0939	3.69	5.32	1.60
B4012Le	0.169	0.0167	893.4	0.940	0.653	28.0	83.6	5000.0	881.0	0.684	0.0596	4.43	6.39	1.92
B4014La	0.177	0.0583	1558.5	0.964	0.773	68.5	291.7	5000.0	1546.0	0.681	0.0361	5.68	8.19	2.46
B4014Lb	0.152	0.0372	1255.0	0.965	0.734	56.4	186.2	5000.0	1242.0	0.690	0.035	5.23	7.54	2.27
B4014Lc	0.189	0.0156	905.0	0.926	0.642	23.3	78.0	5000.0	890.0	0.663	0.0737	4.36	6.29	1.89
B4018Lb	0.105	0.0468	1322.1	0.975	0.760	75.8	234.1	5000.0	1312.0	0.660	0.025	5.46	7.87	2.37
B4018Lc	0.0758	0.0877	1614.1	0.986	0.824	151.4	438.3	5000.0	1606.0	0.648	0.0142	6.08	8.78	2.64
B4018Ld	0.0898	0.0389	1151.5	0.975	0.748	69.6	194.3	5000.0	1144.0	0.631	0.0253	5.27	7.60	2.29
B4019Lb	0.0998	0.0359	1223.9	0.966	0.731	54.4	179.3	5000.0	1213.0	0.664	0.0341	5.19	7.49	2.25
B4019Lc	0.117	0.0539	1402.6	0.977	0.773	88.1	269.6	5000.0	1389.0	0.691	0.0229	5.60	8.07	2.43
B4019Ld	0.0992	0.0678	1534.8	0.980	0.795	103.9	338.9	5000.0	1527.0	0.656	0.0204	5.83	8.40	2.53
C4025Lb	0.161	0.0214	1094.4	0.940	0.669	29.9	107.0	5000.0	1082.0	0.685	0.0598	4.67	6.74	2.03
C4025Ld	0.204	0.0116	800.0	0.916	0.608	18.9	57.8	5000.0	788.0	0.670	0.0835	4.06	5.85	1.76
C4025Le	0.190	0.0134	767.4	0.926	0.635	22.7	67.2	5000.0	754.0	0.673	0.0736	4.21	6.07	1.83
D4034Ld	0.114	0.0471	1252.1	0.975	0.767	78.5	235.7	5000.0	1243.0	0.632	0.0246	5.46	7.88	2.37
D4034Le	0.158	0.0388	1250.5	0.962	0.740	54.1	194.2	5000.0	1241.0	0.651	0.0379	5.27	7.60	2.29
D4034Lf	0.187	0.0312	1191.4	0.951	0.714	41.1	155.9	5000.0	1180.0	0.662	0.0495	5.05	7.28	2.19
D4037La	0.125	0.0444	1260.8	0.972	0.758	70.7	221.8	5000.0	1250.0	0.651	0.0278	5.40	7.79	2.35
D4037Lb	0.194	0.0323	1201.0	0.953	0.718	44.2	161.3	5000.0	1190.0	0.667	0.0466	5.08	7.33	2.21
D4037Lc	0.173	0.0297	1210.3	0.949	0.705	38.5	148.5	5000.0	1200.0	0.674	0.0511	5.00	7.21	2.17
E4043La	0.195	0.0422	1410.1	0.955	0.739	50.8	210.8	5000.0	1397.0	0.707	0.0447	5.35	7.72	2.32
E4043Lb	0.104	0.0501	1369.6	0.974	0.765	76.8	250.4	5000.0	1360.0	0.655	0.0261	5.52	7.97	2.40
E4043Le	0.142	0.0628	1498.7	0.974	0.787	88.4	313.9	5000.0	1490.0	0.655	0.0261	5.75	8.29	2.50
E4045La	0.114	0.0606	1479.5	0.977	0.783	92.9	303.2	5000.0	1471.0	0.661	0.0226	5.71	8.24	2.48
E4045Lb	0.108	0.0693	1569.5	0.975	0.795	94.0	346.6	5000.0	1560.0	0.656	0.0246	5.85	8.44	2.54
E4045Le	0.120	0.0741	1496.5	0.979	0.810	112.4	370.7	5000.0	1491.0	0.606	0.0207	5.92	8.53	2.57
E4049La	0.0882	0.0709	1536.6	0.983	0.801	121.8	354.5	5000.0	1526.0	0.675	0.0165	5.87	8.47	2.55
E4049Lc	0.0638	0.0673	1386.6	0.986	0.805	133.6	336.7	5000.0	1379.0	0.633	0.0137	5.82	8.40	2.53
E4049Lf	0.0826	0.0681	1423.9	0.985	0.804	127.5	340.4	5000.0	1414.0	0.647	0.0151	5.83	8.41	2.53
F4056La	0.111	0.0768	1495.5	0.982	0.814	126.5	384.0	5000.0	1490.0	0.614	0.0179	5.95	8.58	2.58
F4056Lc	0.0924	0.0751	1533.1	0.984	0.809	130.5	375.5	5000.0	1522.0	0.662	0.0159	5.93	8.55	2.57
F4056Lf	0.142	0.0679	1606.3	0.973	0.790	86.4	339.5	5000.0	1599.0	0.652	0.0274	5.83	8.41	2.53
G4062Lb	0.0908	0.0404	1161.6	0.975	0.754	73.2	202.0	5000.0	1145.0	0.663	0.0245	5.31	7.66	2.31
G4062Lc	0.057	0.0796	1554.0	0.987	0.815	146.2	398.1	5000.0	1546.0	0.648	0.0132	5.99	8.64	2.60
G4062Le	0.0888	0.0555	1361.5	0.980	0.780	94.6	277.7	5000.0	1352.0	0.650	0.0205	5.63	8.12	2.44
G4066La	0.276	0.0156	979.0	0.907	0.635	20.1	78.2	5000.0	960.0	0.699	0.0927	4.36	6.29	1.89
G4066Lb	0.103	0.0571	1304.6	0.981	0.789	103.8	285.3	5000.0	1297.0	0.631	0.0189	5.65	8.16	2.46
G4066Lc	0.0898	0.0662	1446.2	0.983	0.798	115.8	331.0	5000.0	1439.0	0.643	0.0172	5.80	8.37	2.52
H4075Lb	0.212	0.00962	621.8	0.916	0.604	18.4	48.1	5000.0	608.0	0.655	0.0845	3.87	5.59	1.68
H4075Ld	0.228	0.0124	863.2	0.904	0.612	17.7	62.0	5000.0	853.0	0.673	0.0961	4.13	5.96	1.79
H4075Lf	0.266	0.00869	664.4	0.885	0.582	14.1	43.4	5000.0	653.0	0.650	0.115	3.77	5.44	1.64
H4076Lb	0.131	0.028	1040.4	0.962	0.713	46.7	140.1	5000.0	1029.0	0.652	0.0381	4.94	7.13	2.15
H4076Ld	0.111	0.0354	1205.9	0.968	0.731	56.7	177.2	5000.0	1195.0	0.664	0.032	5.18	7.47	2.25
H4076Le	0.115	0.0347	1230.6	0.969	0.726	56.9	173.5	5000.0	1220.0	0.686	0.0313	5.16	7.44	2.24
H4080Lc	0.0894	0.0753	1493.0	0.985	0.812	138.8	376.4	5000.0	1484.0	0.648	0.0146	5.93	8.56	2.58
H4080Ld	0.101	0.0696	1505.2	0.983	0.800	118.3	348.1	5000.0	1497.0	0.653	0.0174	5.85	8.44	2.54
H4080Lf	0.0776	0.0466	1275.4	0.980	0.763	87.5	233.0	5000.0	1267.0	0.661	0.0198	5.45	7.86	2.37
K4093La	0.0614	0.0695	1459.5	0.985	0.804	127.0	347.6	5000.0	1450.0	0.651	0.015	5.85	8.44	2.54
K4093Lc	0.107	0.0641	1366.1	0.982	0.800	117.3	320.4	5000.0	1356.0	0.654	0.0176	5.77	8.32	2.51
K4093Le	0.0976	0.0475	1335.3	0.975	0.761	76.9	237.5	5000.0	1326.0	0.663	0.0246	5.47	7.89	2.38
K4094La	0.190	0.0252	1081.6	0.949	0.694	37.1	126.1	5000.0	1066.0	0.686	0.051	4.84	6.98	2.10
K4094Lb	0.112	0.0139	787.9	0.952	0.638	29.7	69.7	5000.0	777.0	0.684	0.048	4.24	6.12	1.84
K4096Lc	0.127	0.0341	1288.1	0.960	0.719	46.9	170.5	5000.0	1276.0	0.689	0.0405	5.14	7.41	2.23
K4096Ld	0.152	0.0391	1318.7	0.961	0.735	52.4	195.4	5000.0	1309.0	0.662	0.0385	5.27	7.61	2.29
K4096Le	0.0952	0.0527	1371.2	0.977	0.772	84.1	263.4	5000.0	1363.0	0.646	0.0233	5.57	8.04	2.42
L4105La	0.0786	0.0512	1308.7	0.981	0.773	95.4	256.0	5000.0	1300.0	0.660	0.0188	5.55	8.00	2.41
L4105Lb	0.0902	0.0401	1054.0	0.980	0.763	83.6	200.6	5000.0	1045.0	0.625	0.0203	5.30	7.65	2.30
L4105Lc	0.102	0.0705	1481.9	0.983	0.804	120.5	352.6	5000.0	1475.0	0.639	0.0174	5.87	8.46	2.55
M4112La	0.152	0.0386	1268.8	0.962	0.737	52.7	192.8	5000.0	1261.0	0.635	0.0385	5.26	7.59	2.29
M4112Lb	0.116	0.0508	1374.3	0.969	0.767	69.2	254.2	5000.0	1367.0	0.630	0.0307	5.54	7.99	2.41
M4112Lf	0.085	0.0504	1337.6	0.978	0.769	85.5	251.8	5000.0	1329.0	0.656	0.0219	5.53	7.98	2.40
M4113La	0.0556	0.0821	1498.4	0.989	0.824	171.1	410.6	5000.0	1489.0	0.652	0.0109	6.02	8.68	2.61
M4113Lb	0.151	0.0333	1251.0	0.959	0.718	46.6	166.7	5000.0	1241.0	0.669	0.0412	5.12	7.38	2.22
M4113Ld	0.105	0.0499	1301.1	0.978	0.770	86.4	249.3	5000.0	1294.0	0.637	0.0219	5.52	7.96	2.40
M4114La	0.226	0.0266	1182.6	0.936	0.692	31.9	133.2	5000.0	1173.0	0.663	0.0641	4.89	7.06	2.12
M4114Lb	0.152	0.0418	1271.5	0.962	0.748	55.9	208.9	5000.0	1264.0	0.630	0.038	5.34	7.71	2.32
M4114Lf	0.163	0.0535	1495.5	0.964	0.765	63.0	267.4	5000.0	1487.0	0.650	0.0365	5.59	8.06	2.43
M4115La	0.205	0.0289	1129.7	0.947	0.708	38.1	144.4	5000.0	1120.0	0.636	0.0535	4.97	7.17	2.16
M4115Ld	0.0886	0.0609	1442.1	0.979	0.787	98.4	304.6	5000.0	1431.0	0.665	0.0206	5.72	8.25	2.48
M4115Lf	0.104	0.0424	1312.5	0.969	0.747	62.5	212.0	5000.0	1304.0	0.661	0.0313	5.36	7.73	2.33
M4117La	0.217	0.0176	1035.1	0.924	0.646	23.4	87.8	5000.0	1022.0	0.680	0.0757	4.47	6.46	1.94
M4117Ld	0.289	0.0128	914.0	0.896	0.611	17.2	64.1	5000.0	904.0	0.678	0.104	4.16	6.00	1.81
M4117Lf	0.330	0.0101	844.5	0.868	0.583	13.0	50.3	5000.0	832.0	0.665	0.132	3.92	5.65	1.70
M4118La	0.214	0.0243	1044.5	0.942	0.692	33.7	121.6	5000.0	1033.0	0.654	0.0582	4.80	6.93	2.08
M4118Lb	0.269	0.0184	933.1	0.918	0.662	24.1	92.1	5000.0	923.0	0.642	0.0819	4.52	6.52	1.96
M4118Lc	0.259	0.0139	949.0	0.909	0.620	19.2	69.4	5000.0	939.0	0.676	0.0908	4.24	6.12	1.84
M4119Lc	0.148	0.0282	1216.5	0.950	0.698	37.9	141.0	5000.0	1202.0	0.689	0.0496	4.95	7.14	2.15
M4119Ld	0.172	0.0295	1156.6	0.956	0.709	43.8	147.3	5000.0	1142.0	0.686	0.0436	4.99	7.20	2.17
M4119Le	0.153	0.0242	1062.1	0.954	0.689	37.8	121.0	5000.0	1051.0	0.663	0.0462	4.80	6.92	2.08
M4120Lb	0.192	0.0326	1205.6	0.954	0.719	44.8	162.9	5000.0	1194.0	0.664	0.046	5.09	7.35	2.21
M4120Le	0.232	0.0193	1090.4	0.925	0.655	24.8	96.3	5000.0	1072.0	0.706	0.0748	4.57	6.59	1.98
M4120Lf	0.182	0.0291	1203.2	0.953	0.703	40.7	145.7	5000.0	1191.0	0.684	0.0472	4.98	7.19	2.16
N4121La	0.246	0.0322	1270.6	0.933	0.711	33.9	160.8	5000.0	1262.0	0.647	0.0666	5.08	7.33	2.21
N4121Ld	0.181	0.0252	1022.6	0.953	0.699	39.4	125.8	5000.0	1012.0	0.663	0.0472	4.83	6.97	2.10
N4121Lf	0.130	0.0327	1121.9	0.967	0.727	54.9	163.6	5000.0	1110.0	0.658	0.033	5.10	7.35	2.21
N4126Lb	0.130	0.0653	1560.1	0.974	0.788	87.1	326.3	5000.0	1549.0	0.669	0.0262	5.79	8.35	2.51
N4126Ld	0.0664	0.0785	1514.5	0.986	0.816	144.5	392.6	5000.0	1506.0	0.636	0.0136	5.97	8.62	2.59
N4126Le	0.141	0.0495	1353.8	0.971	0.765	73.5	247.6	5000.0	1343.0	0.666	0.0288	5.51	7.95	2.39
N4127La	0.162	0.0412	1409.5	0.957	0.736	48.8	206.1	5000.0	1400.0	0.670	0.0435	5.33	7.69	2.31
N4127Lb	0.0964	0.0572	1353.9	0.978	0.785	94.0	286.0	5000.0	1346.0	0.635	0.0216	5.66	8.16	2.46
N4127Lc	0.116	0.0575	1421.1	0.977	0.781	90.1	287.4	5000.0	1412.0	0.654	0.0229	5.66	8.17	2.46
N4130La	0.122	0.0656	1464.1	0.978	0.796	102.6	328.2	5000.0	1455.0	0.646	0.0215	5.79	8.36	2.52
N4130Lb	0.095	0.0736	1475.8	0.984	0.810	130.4	368.0	5000.0	1466.0	0.648	0.016	5.91	8.52	2.57
N4130Le	0.0914	0.0707	1498.8	0.983	0.803	119.1	353.7	5000.0	1490.0	0.652	0.0173	5.87	8.47	2.55
P4135Lc	0.167	0.0529	1422.7	0.967	0.769	70.1	264.6	5000.0	1412.0	0.672	0.0335	5.58	8.05	2.42
P4135Ld	0.126	0.0304	1046.3	0.963	0.723	50.2	151.9	5000.0	1039.0	0.632	0.0368	5.02	7.25	2.18
P4135Lf	0.0724	0.0531	1261.6	0.983	0.783	103.5	265.4	5000.0	1251.0	0.648	0.0174	5.58	8.05	2.42
