Supplementary Table 6: Differential abundance of OTUs between indica and japonica; details of OTUs in each part of Venn diagrams in Figure 3.														
Supplementary Table 6a: Differential abundance of OTUs between indica and japonica in Field I.														
OTUID	logFC	logCPM	P value	FDR 	level	Phylum	Class	Order	Family	Genus	Indica	Japonica	Indica_Soil	Japonica_Soil
OTU_195	1.598	13.332	4.64009E-12	1.34952E-11	Enriched	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Sulfuritalea	0.126	0.042	Enriched	Enriched
OTU_1954	1.094	14.849	2.3242E-19	1.80718E-18	Enriched	Proteobacteria	Deltaproteobacteria	Myxococcales	Cystobacteraceae	Anaeromyxobacter	0.692	0.324	NotSig	Enriched
OTU_196	-1.439	17.4	3.1364E-12	9.26331E-12	Depleted	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Herbaspirillum	0.566	1.536	Enriched	Enriched
OTU_197	0.936	12.61	1.76846E-06	3.35216E-06	Enriched	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	Nocardioides	0.052	0.027	Enriched	Enriched
OTU_1971	-1.084	12.214	0.006177336	0.008716908	Depleted	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Chitinophagaceae	Chitinophaga	0.004	0.009	NotSig	NotSig
OTU_198	2.275	17.616	5.56905E-07	1.09372E-06	Enriched	Actinobacteria	Actinobacteria	Actinomycetales	Micromonosporaceae	Dactylosporangium	0.209	0.043	NotSig	Depleted
OTU_199	1.315	11.716	8.35882E-25	3.98089E-23	Enriched	Firmicutes	Bacilli	Bacillales	Paenibacillaceae_2	Ammoniphilus	0.115	0.046	Depleted	Depleted
OTU_2	-0.122	18.558	0.039526562	0.049866291	NotSig	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia	14.942	16.255	Enriched	NotSig
OTU_20	1.367	14.581	4.17415E-17	2.17856E-16	Enriched	Proteobacteria	Gammaproteobacteria	Clostridiales	Chloroplast	Streptophyta	0.607	0.235	Enriched	Enriched
OTU_201	1.071	12.431	2.72419E-14	9.70015E-14	Enriched	Proteobacteria	Actinobacteria	Actinomycetales	Xanthomonadaceae	Streptomyces	0.112	0.053	Depleted	Depleted
OTU_202	0.958	11.822	3.40066E-12	9.96655E-12	Enriched	Actinobacteria	Actinobacteria	Actinomycetales	Propionibacteriaceae	Acidothermus	0.072	0.037	Enriched	Enriched
OTU_205	-0.018	12.474	0.061646741	0.075280154	NotSig	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	0.017	0.017	Enriched	Enriched
OTU_206	0.719	13.06	0.003242248	0.004679153	Enriched	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiales_incertae_sedis	Vasilyevaea	0.056	0.034	Enriched	Enriched
OTU_208	-0.266	12.653	0.040520805	0.050784298	NotSig	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Curtobacterium	0.041	0.049	Enriched	Enriched
OTU_21	1.063	17.578	3.7288E-14	1.27988E-13	Enriched	Firmicutes	Bacilli	Bacillales	Bacillaceae_1	Bacillus	0.882	0.422	Depleted	Depleted
OTU_210	1.136	11.498	5.12138E-15	2.03255E-14	Enriched	Actinobacteria	Actinobacteria	Actinomycetales	Intrasporangiaceae	Lapillicoccus	0.068	0.031	Depleted	Depleted
OTU_211	-0.179	13.318	0.02400005	0.030891956	NotSig	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter	0.179	0.203	Enriched	Enriched
OTU_214	0.173	12.032	0.008861306	0.012232455	NotSig	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylomonas	0.013	0.011	Enriched	Enriched
OTU_216	1.231	14.84	3.25656E-05	5.58895E-05	Enriched	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Bacteroides	0.21	0.09	Enriched	NotSig
OTU_217	0.249	6.84	0.862411776	0.878553173	NotSig	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	0	0	Enriched	Enriched
OTU_219	1.09	10.412	3.73542E-17	2.03313E-16	Enriched	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	0.046	0.022	Depleted	Depleted
OTU_22	0.906	10.771	0.195032907	0.220497144	NotSig	Proteobacteria	Deltaproteobacteria	Myxococcales	Cystobacteraceae	Cystobacter	0.004	0.002	Enriched	Enriched
OTU_220	1.196	12.114	7.06985E-15	2.69361E-14	Enriched	Actinobacteria	Actinobacteria	Solirubrobacterales	Gaiellaceae	Gaiella	0.121	0.053	Depleted	Depleted
OTU_221	2.819	11.483	3.68742E-05	6.26473E-05	Enriched	Bacteroidetes	Bacteroidia	Bacteroidales	Marinilabiliaceae	Mangroviflexus	0.009	0.001	Enriched	Enriched
OTU_224	2.68	14.941	4.226E-05	7.09298E-05	Enriched	Actinobacteria	Actinobacteria	Actinomycetales	Demequinaceae	Demequina	0.083	0.013	Enriched	Enriched
OTU_225	0.852	10.064	0.00794842	0.011012174	Enriched	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Sinobacteraceae	Steroidobacter	0.006	0.003	NotSig	Enriched
OTU_226	0.483	11.372	1.51656E-09	3.68031E-09	Enriched	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Pseudolabrys	0.096	0.069	Depleted	Depleted
OTU_227	-0.618	12.017	3.69964E-05	6.26473E-05	Depleted	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria_incertae_sedis	Unassigned	Rhizomicrobium	0.052	0.08	Enriched	Enriched
OTU_23	-0.682	15.126	1.14303E-05	2.06395E-05	Depleted	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Ensifer	0.633	1.016	Enriched	Enriched
OTU_230	1.228	11.795	1.02563E-21	1.34747E-20	Enriched	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	0.09	0.038	Depleted	Depleted
