Supplementary Table 8: Differential abundance OTUs between the nrt1.1b mutant and wild-type ZH11; differential abundance OTUs between  NRT1.1Bindica and NRT1.1Bjaponica; details of OTUs in each part of Venn diagrams of Fig. 4.														
Supplementary Table 8a: Differential abundance OTUs between the nrt1.1b mutant and ZH11 wild type.														
nrt1.1b vs ZH11	logFC	logCPM	P value	FDR	level	Phylum	Class	Order	Family	Genus	MeanA	MeanB		
OTU_65	-4.067	11.966	1.38E-08	2.18E-07	Depleted	Bacteroidetes	Bacteroidia	Bacteroidales	Marinilabiliaceae	Natronoflexus	0.016	0.264		
OTU_669	-3.206	7.919	3.32E-05	0.00012899	Depleted	Actinobacteria	Actinobacteria	Solirubrobacterales	Conexibacteraceae	Conexibacter	0.001	0.01		
OTU_67	-3.487	11.594	2.75E-08	3.27E-07	Depleted	Firmicutes	Bacilli	Bacillales	Bacillaceae_1	Bacillus	0.014	0.162		
OTU_679	-2.359	8.744	3.39E-05	0.00013049	Depleted	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Atopobium	0.002	0.013		
OTU_68	-3.118	12.313	1.38E-08	2.18E-07	Depleted	Bacteroidetes	Bacteroidia	Bacteroidales	Marinilabiliaceae	Mangroviflexus	0.035	0.306		
OTU_7	-3.166	13.624	1.38E-08	2.18E-07	Depleted	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Curvibacter	0.07	0.624		
OTU_71	-2.228	8.739	3.56E-06	2.05E-05	Depleted	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Mesorhizobium	0.004	0.021		
OTU_712	-3.783	6.522	0.000101223	0.000326829	Depleted	Verrucomicrobia	Subdivision3	Unassigned	Unassigned	Subdivision3_genera_incertae_sedis	0	0.005		
OTU_73	-2.039	11.262	1.38E-08	2.18E-07	Depleted	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Pseudoxanthomonas	0.034	0.14		
OTU_786	-2.689	6.749	0.005436286	0.011636096	Depleted	Proteobacteria	Deltaproteobacteria	Syntrophobacterales	Syntrophaceae	Dissulfuribacter	0	0.003		
OTU_791	-2.028	8.503	0.000197478	0.000592435	Depleted	Chloroflexi	Caldilineae	Caldilineales	Caldilineaceae	Caldilinea	0.004	0.016		
OTU_8	-3.988	11.766	1.38E-08	2.18E-07	Depleted	Proteobacteria	Deltaproteobacteria	Myxococcales	Cystobacteraceae	Anaeromyxobacter	0.011	0.176		
OTU_80	-4.15	9.668	8.39E-06	4.20E-05	Depleted	Bacteroidetes	Bacteroidia	Bacteroidales	Prolixibacteraceae	Tangfeifania	0.002	0.035		
OTU_800	-3.518	7.851	0.001017851	0.002485904	Depleted	Proteobacteria	Betaproteobacteria	Burkholderiales	Sulfuricellaceae	Sulfuriferula	0	0.004		
OTU_81	-3.624	9.909	3.27E-06	2.04E-05	Depleted	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Sulfuritalea	0.004	0.052		
OTU_82	-3.661	12.581	1.65E-07	1.43E-06	Depleted	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Dechloromonas	0.012	0.147		
OTU_83	-5.933	14.152	0.000158853	0.00049609	Depleted	Actinobacteria	Actinobacteria	Actinomycetales	Micromonosporaceae	Actinoplanes	0.003	0.215		
OTU_85	-3.531	10.004	3.53E-06	2.05E-05	Depleted	Firmicutes	Clostridia	Clostridiales	Clostridiaceae_1	Clostridium_sensu_stricto	0.003	0.036		
OTU_872	-3.709	7.851	0.000193644	0.000585543	Depleted	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Desulfuromonadaceae	Desulfuromonas	0	0.007		
OTU_9	-3.286	11.533	1.38E-08	2.18E-07	Depleted	Proteobacteria	Betaproteobacteria	Gallionellales	Gallionellaceae	Sideroxydans	0.01	0.095		
OTU_90	-3.277	11.751	2.75E-08	3.27E-07	Depleted	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Azospira	0.015	0.146		
OTU_92	-3.192	9.143	2.92E-05	0.000114651	Depleted	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Thermodesulfovibrio	0.003	0.031		
OTU_926	-3.94	10.916	2.75E-08	3.27E-07	Depleted	Firmicutes	Bacilli	Bacillales	Bacillaceae_1	Bacillus	0.006	0.095		
OTU_93	-2.655	11.975	2.75E-08	3.27E-07	Depleted	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	Nocardioides	0.023	0.147		
OTU_95	3.604	17.041	9.63E-08	9.17E-07	Enriched	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	3.322	0.273		
OTU_96	-1.662	11.505	7.57E-05	0.000259682	Depleted	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	0.047	0.148		
OTU_97	-2.497	10.888	2.61E-07	2.12E-06	Depleted	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Tabrizicola	0.013	0.076		
OTU_98	1.947	16.779	7.57E-05	0.000259682	Enriched	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Chryseobacterium	2.294	0.595		
OTU_99	-2.527	10.47	1.38E-08	2.18E-07	Depleted	Actinobacteria	Actinobacteria	Acidimicrobiales	Acidimicrobiaceae	Ilumatobacter	0.011	0.064		
